 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
11/1/15;1.075
11/2/15;2.148
11/3/15;5.515
11/4/15;2.428
11/5/15;1.187
11/6/15;3.778
11/7/15;2.974
11/8/15;0.669
11/9/15;0.958
11/10/15;3.912
11/11/15;8.710
11/12/15;3.653
11/13/15;8.528
11/14/15;8.848
11/15/15;5.569
11/16/15;7.309
11/17/15;5.499
11/18/15;1.236
11/19/15;8.457
11/20/15;8.289
11/21/15;3.748
11/22/15;8.950
11/23/15;8.655
11/24/15;7.270
11/25/15;5.293
11/26/15;7.902
11/27/15;5.970
11/28/15;6.875
11/29/15;6.170
11/30/15;5.800
