 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
4/1/19;18.212
4/2/19;14.359
4/3/19;17.455
4/4/19;10.142
4/5/19;8.995
4/6/19;3.625
4/7/19;12.672
4/8/19;4.039
4/9/19;10.117
4/10/19;17.824
4/11/19;15.956
4/12/19;10.349
4/13/19;11.385
4/14/19;8.090
4/15/19;19.237
4/16/19;18.363
4/17/19;16.210
4/18/19;13.428
4/19/19;6.277
4/20/19;5.826
4/21/19;18.927
4/22/19;18.006
4/23/19;16.338
4/24/19;16.533
4/25/19;8.839
4/26/19;15.896
4/27/19;18.280
4/28/19;15.656
4/29/19;16.822
4/30/19;16.277
