 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/18;4.624
8/2/18;4.837
8/3/18;13.535
8/4/18;13.302
8/5/18;15.593
8/6/18;14.886
8/7/18;12.587
8/8/18;15.333
8/9/18;14.072
8/10/18;12.055
8/11/18;10.495
8/12/18;15.438
8/13/18;13.226
8/14/18;14.905
8/15/18;15.822
8/16/18;13.155
8/17/18;9.241
8/18/18;8.489
8/19/18;8.065
8/20/18;6.669
8/21/18;10.368
8/22/18;14.614
8/23/18;15.794
8/24/18;12.045
8/25/18;14.952
8/26/18;14.565
8/27/18;14.795
8/28/18;13.415
8/29/18;15.430
8/30/18;9.392
8/31/18;13.091
