 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
12/1/15;4.132
12/2/15;3.018
12/3/15;4.187
12/4/15;12.018
12/5/15;11.740
12/6/15;9.343
12/7/15;10.877
12/8/15;11.433
12/9/15;7.530
12/10/15;6.807
12/11/15;4.297
12/12/15;8.303
12/13/15;5.841
12/14/15;5.230
12/15/15;11.243
12/16/15;6.169
12/17/15;2.339
12/18/15;11.784
12/19/15;11.645
12/20/15;9.145
12/21/15;2.831
12/22/15;1.213
12/23/15;0.451
12/24/15;0.058
12/25/15;3.508
12/26/15;5.670
12/27/15;2.786
12/28/15;1.396
12/29/15;10.380
12/30/15;1.000
12/31/15;2.332
