 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
2/1/20;2.205
2/2/20;12.553
2/3/20;12.047
2/4/20;6.070
2/5/20;1.350
2/6/20;0.569
2/7/20;8.531
2/8/20;4.270
2/9/20;12.560
2/10/20;1.993
2/11/20;3.321
2/12/20;5.079
2/13/20;4.721
2/14/20;13.799
2/15/20;13.468
2/16/20;1.492
2/17/20;2.353
2/18/20;1.549
2/19/20;3.274
2/20/20;1.445
2/21/20;11.293
2/22/20;14.276
2/23/20;7.883
2/24/20;1.077
2/25/20;8.318
2/26/20;3.167
2/27/20;15.245
2/28/20;13.476
2/29/20;15.141
