 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
1/1/20;8.580
1/2/20;0.646
1/3/20;1.152
1/4/20;8.010
1/5/20;11.357
1/6/20;10.628
1/7/20;11.387
1/8/20;11.244
1/9/20;8.931
1/10/20;4.361
1/11/20;1.400
1/12/20;8.056
1/13/20;1.856
1/14/20;0.831
1/15/20;4.873
1/16/20;9.458
1/17/20;7.837
1/18/20;2.833
1/19/20;12.091
1/20/20;12.403
1/21/20;12.535
1/22/20;10.764
1/23/20;2.490
1/24/20;5.662
1/25/20;12.157
1/26/20;5.498
1/27/20;3.283
1/28/20;12.090
1/29/20;2.079
1/30/20;11.869
1/31/20;1.212
