 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
7/1/18;8.171
7/2/18;12.616
7/3/18;13.651
7/4/18;15.205
7/5/18;14.755
7/6/18;14.299
7/7/18;10.095
7/8/18;7.463
7/9/18;15.079
7/10/18;16.559
7/11/18;14.452
7/12/18;14.319
7/13/18;10.403
7/14/18;11.474
7/15/18;11.046
7/16/18;13.195
7/17/18;11.869
7/18/18;11.888
7/19/18;11.145
7/20/18;12.452
7/21/18;11.031
7/22/18;16.146
7/23/18;12.133
7/24/18;10.428
7/25/18;13.717
7/26/18;16.650
7/27/18;15.748
7/28/18;16.147
7/29/18;16.658
7/30/18;10.642
7/31/18;7.316
