 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
6/1/17;8.716
6/2/17;15.476
6/3/17;12.057
6/4/17;8.209
6/5/17;11.853
6/6/17;5.209
6/7/17;10.302
6/8/17;15.561
6/9/17;15.602
6/10/17;15.363
6/11/17;12.447
6/12/17;13.749
6/13/17;13.445
6/14/17;12.118
6/15/17;14.861
6/16/17;14.384
6/17/17;15.957
6/18/17;10.547
6/19/17;13.356
6/20/17;3.971
6/21/17;3.041
6/22/17;6.708
6/23/17;14.607
6/24/17;9.239
6/25/17;11.703
6/26/17;16.183
6/27/17;14.360
6/28/17;14.863
6/29/17;6.076
6/30/17;7.984
