 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
3/1/17;8.616
3/2/17;16.270
3/3/17;16.610
3/4/17;15.921
3/5/17;8.883
3/6/17;10.999
3/7/17;5.442
3/8/17;17.299
3/9/17;16.709
3/10/17;11.904
3/11/17;11.472
3/12/17;2.527
3/13/17;2.156
3/14/17;5.648
3/15/17;19.652
3/16/17;18.918
3/17/17;11.740
3/18/17;3.954
3/19/17;18.824
3/20/17;12.902
3/21/17;16.271
3/22/17;15.276
3/23/17;9.895
3/24/17;12.755
3/25/17;13.669
3/26/17;14.777
3/27/17;9.079
3/28/17;9.690
3/29/17;14.521
3/30/17;12.321
3/31/17;16.547
