 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
5/1/19;15.556
5/2/19;15.728
5/3/19;13.837
5/4/19;9.368
5/5/19;9.652
5/6/19;17.727
5/7/19;17.044
5/8/19;15.014
5/9/19;11.416
5/10/19;14.974
5/11/19;8.627
5/12/19;6.718
5/13/19;17.608
5/14/19;18.149
5/15/19;17.495
5/16/19;16.426
5/17/19;11.885
5/18/19;15.191
5/19/19;16.489
5/20/19;16.093
5/21/19;15.764
5/22/19;16.286
5/23/19;16.065
5/24/19;14.800
5/25/19;15.457
5/26/19;15.999
5/27/19;14.380
5/28/19;16.492
5/29/19;15.327
5/30/19;15.963
5/31/19;13.171
