 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
11/1/17;9.121
11/2/17;7.060
11/3/17;9.774
11/4/17;9.766
11/5/17;8.970
11/6/17;4.823
11/7/17;7.593
11/8/17;2.076
11/9/17;1.653
11/10/17;12.147
11/11/17;3.957
11/12/17;1.692
11/13/17;11.953
11/14/17;11.806
11/15/17;10.786
11/16/17;10.457
11/17/17;11.218
11/18/17;5.864
11/19/17;12.087
11/20/17;9.672
11/21/17;6.794
11/22/17;7.693
11/23/17;9.163
11/24/17;11.164
11/25/17;5.443
11/26/17;11.702
11/27/17;11.500
11/28/17;10.970
11/29/17;3.012
11/30/17;3.478
