 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
10/1/17;16.146
10/2/17;5.847
10/3/17;13.789
10/4/17;12.605
10/5/17;13.140
10/6/17;12.081
10/7/17;5.919
10/8/17;1.695
10/9/17;2.627
10/10/17;10.345
10/11/17;10.526
10/12/17;12.387
10/13/17;10.699
10/14/17;4.270
10/15/17;6.484
10/16/17;10.796
10/17/17;13.356
10/18/17;13.169
10/19/17;12.747
10/20/17;12.575
10/21/17;8.110
10/22/17;7.042
10/23/17;10.808
10/24/17;12.688
10/25/17;12.959
10/26/17;12.498
10/27/17;11.769
10/28/17;2.591
10/29/17;9.055
10/30/17;12.482
10/31/17;11.482
