 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
9/1/18;14.306
9/2/18;14.153
9/3/18;11.549
9/4/18;9.342
9/5/18;9.319
9/6/18;10.106
9/7/18;15.754
9/8/18;15.901
9/9/18;13.714
9/10/18;12.184
9/11/18;12.876
9/12/18;12.411
9/13/18;14.354
9/14/18;14.495
9/15/18;16.464
9/16/18;12.855
9/17/18;15.140
9/18/18;15.180
9/19/18;16.069
9/20/18;14.955
9/21/18;13.768
9/22/18;13.190
9/23/18;12.743
9/24/18;12.441
9/25/18;6.909
9/26/18;7.817
9/27/18;5.399
9/28/18;8.257
9/29/18;12.233
9/30/18;10.418
